owner_id,title,description,category,street,barangay,city,coordinates,image_url,rent,amenities,rating,max_renters,is_available,is_verified,has_internet,allows_pets,is_furnished,has_ac,is_secure,has_parking,number_reviews
1,Solo Room for Rent,"Allowed to cook and do laundry. No curfew. Occupancy: Female only. Payment: 1 month advance, 2 months deposit. Lease term: 6-12 months. Accessible location.",room,,Bantayan,Dumaguete,"9.329639801879502, 123.30503329241597","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",4000,{},NULL,4,true,false,NULL,NULL,true,NULL,true,NULL,0
2,Unit 10,"2 Bedrooms, 1 Bathroom. Payment: 1 month advance, 1 month deposit. Lease term: 6-12 months. Accessible location.",apartment,,Calindagan,Dumaguete,"9.298555745031136, 123.30829997213651","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",20000,{},NULL,2,true,false,NULL,NULL,true,true,true,true,0
3,House for Rent,"With water tank. 3 Bedrooms (2 rooms with A/C). Payment: 1 month advance, 2 months deposit. Accessible location.",apartment,,,Dumaguete,"9.31708841617916, 123.2957205032766","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",23000,{},NULL,3,true,false,NULL,NULL,true,true,true,true,0
4,Bedspace for Rent,"Allowed to cook and do laundry. No curfew. Shared CR & Kitchen. 2 bunk beds in one room. Visitors allowed but no overnight stay. Free wifi, electricity, water. Payment: 1 month advance, 1 month deposit. Accessible location.",bedspace,,Piapi,Dumaguete,"9.31963749303219, 123.30839766649427","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",3500,{},NULL,2,true,true,true,NULL,true,false,NULL,NULL,0
5,House for Rent,"2 Bedrooms, 1 Bathroom with hot shower. Payment: 1 month advance, 1 month deposit.",apartment,,,Dumaguete,"9.30700918332745, 123.30558610410338","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",25000,{},NULL,2,true,true,NULL,true,true,true,NULL,true,0
6,Brand New Semi-Furnished House,"Bungalow type no room partition. 1 toilet and batroom. Payment: 1 month advance, 1 month deposit. Accessible location.",apartment,,Tubtubon,Sibulan,"9.349651753819536, 123.28041326464573","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",10000,{},NULL,2,true,true,NULL,NULL,true,true,true,NULL,0
7,B6 - Studio Unit,"With a personal refrigerator and a rice cooker. Payment: 1 month advance, 1 month deposit. Lease term: 6-12 months. Accessible location.",apartment,,Buñao,Dumaguete,"9.328618952130288, 123.29080774657113","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",10000,{},NULL,4,true,false,NULL,NULL,true,true,true,true,0
8,Spacious Room,"1 person (9,000). 2 persons (10,000). No curfew Payment: No advance, 1 month deposit. Accessible location.",apartment,,Daro,Dumaguete,"9.316824170237668, 123.30093654907287","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",9000,{},NULL,3,true,false,true,NULL,false,true,true,NULL,0
9,3 bedroom Apartment for Rent,"3 Bedrooms, 2 Bathrooms. Payment: 1 month advance, 2 months deposit. Accessible location.",apartment,,Bagacay,Dumaguete,"9.299464616007134, 123.29342532095615","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",20000,{},NULL,1,true,false,false,NULL,false,false,NULL,NULL,0
9,Studio Type Room,"Good for 2 persons. 120 pesos per head for water. Visitors up to 10pm only. Children are not allowed Payment: No advance, 1 month deposit. Lease term: 6-12 months.",apartment,,Bagacay,Dumaguete,"9.299464616007134, 123.29342532095615","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",5500,{},NULL,2,true,true,NULL,false,true,false,NULL,true,0
10,Room for 2-3 Persons,"4 persons (2,200).  2-3 persons/whole room (7,000). No curfew, visitors allowed. Allowed to cook and do laundry. Payment: 1 month advance, 1 month deposit. Lease term: Accepting long-term/short term or transient minimum 5 days. Accessible location.",bedspace,,Camanjac,Dumaguete,"9.325000574283198, 123.27129818084425","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",2200,{},NULL,3,true,false,true,NULL,true,false,false,true,0
11,Room for Rent,"1 person (3,000). 2 persons (4,000).  Allowed to cook and do laundry. No curfew. Visitors allowed. Payment: 1 month advance, 1 month deposit. Lease term: 6-12 months. Accessible location.",room,,Banilad,Dumaguete,"9.264240224632012, 123.29338219166125","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",3000,{},NULL,4,true,true,true,NULL,true,false,NULL,true,0
12,House for Rent,2 story house with balcony.  With 1KW on-grid solar system (energy-saving!),apartment,,Batinguel,Dumaguete,"9.319117648269396, 123.28135010697434","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",20000,{},NULL,2,true,false,false,NULL,true,true,true,NULL,0
13,Apartment For Rent in Bong-bong,"2 Bedrooms, 1 Bathroom, 1 sala with kitchen, 1 open garage. Accessible location.",apartment,,Bong-bong,Valencia,"9.269311138309863, 123.22788087679484","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",10000,{},NULL,4,true,true,NULL,NULL,false,false,false,true,0
14,Apartment For Rent in West Balabag,"Free water and electric. 1 Bathroom, 1 kitchen. Payment: No advance, no deposit. Accessible location.",apartment,,West Balabag,Valencia,"9.292637213462688, 123.24677271036508","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",4000,{},NULL,4,true,false,false,NULL,false,false,NULL,NULL,0
